Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Petersburg City,2045,6986,1644,5389,10099,5400,6184
Pittsylvania County,2045,9110,3161,5517,17855,9129,14883
Poquoson City,2045,2116,801,829,4793,2102,3879
Portsmouth City,2045,18192,5590,12606,28913,16261,15501
Powhatan County,2045,4772,1644,3575,12989,5532,9912
Prince Edward County,2045,2752,2735,4208,7194,3335,4686
Prince George County,2045,7504,5117,5970,15985,6537,7018
Prince William County,2045,142957,41781,83499,235234,62739,99425
Pulaski County,2045,4475,1401,3175,11005,5047,8802
Radford City,2045,1990,3204,5213,4387,1558,1991
Rappahannock County,2045,1156,284,671,2519,1237,2201
Richmond City,2045,39918,15817,40953,84626,46980,28961
Richmond County,2045,1337,376,960,3256,1270,2000
Roanoke City,2045,20747,5779,13284,32158,14588,18091
Roanoke County,2045,15577,5395,8957,33994,14903,27013
Rockbridge County,2045,3152,1275,2143,7313,3630,7112
Rockingham County,2045,16788,5707,10284,31299,13205,24346
Russell County,2045,3678,1120,2096,7518,3496,6478
Salem City,2045,4096,1845,3250,8199,3760,6312
Scott County,2045,2918,932,1646,6080,3036,6000
Shenandoah County,2045,8445,2849,5080,15236,7318,12921
Smyth County,2045,3928,1202,2375,8793,4066,7942
Southampton County,2045,2518,909,1641,5511,3133,5113
Spotsylvania County,2045,34599,10746,19262,64366,24047,36427
Stafford County,2045,42580,13292,25846,81558,26538,42923
Staunton City,2045,4652,1463,2981,8291,3602,7332
Suffolk City,2045,21585,6571,12346,38791,17644,22303
Surry County,2045,1008,354,699,1902,1148,1700
Sussex County,2045,1354,410,1602,3392,1303,2139
Tazewell County,2045,6128,2066,3032,11584,5286,10448
Virginia Beach City,2045,87962,26724,62584,159029,72955,101393
Warren County,2045,7899,2446,5113,16283,7944,9802
Washington County,2045,8301,3037,5133,16895,7833,14857
Waynesboro City,2045,4591,1154,2710,7664,3187,5417
Westmoreland County,2045,3063,928,2221,5967,3769,4840
Williamsburg City,2045,1502,3812,4148,3491,1648,4712
Winchester City,2045,6365,2586,4600,10200,4120,6495
Wise County,2045,5122,1794,3465,11106,4663,7380
Wythe County,2045,4066,1279,2810,9312,3993,7829
York County,2045,12344,3966,7013,25685,11524,19818
