Geo,Year,SFDU,MFDU,GQDU
510190301043,2024,630,246,7
510190302021,2024,765,43,9
510190302022,2024,1015,23,0
510190302023,2024,726,19,0
510190302031,2024,611,51,0
510190302032,2024,1031,13,0
510190302041,2024,597,45,4
510190302042,2024,992,4,1
510190303001,2024,995,11,0
510190303002,2024,834,35,0
510190304011,2024,491,20,0
510190304012,2024,610,0,0
510190304013,2024,285,82,0
510190304031,2024,610,0,0
510190304032,2024,502,34,6
510190304033,2024,511,0,0
510190304041,2024,383,0,0
510190304042,2024,717,0,15
510190304043,2024,470,0,6
510190305011,2024,928,3,0
510190305012,2024,312,0,0
510190305013,2024,689,48,0
510190305031,2024,806,46,0
510190305032,2024,750,59,0
510190305033,2024,930,160,0
510190305041,2024,769,144,0
510190305042,2024,319,11,0
510190305043,2024,568,0,0
510190306011,2024,717,0,0
510190306012,2024,407,0,0
510190306013,2024,389,30,0
510190306021,2024,630,0,0
510190306022,2024,635,0,0
510190306023,2024,349,15,0
510190306031,2024,277,53,0
510190306032,2024,845,4,0
510190306041,2024,540,0,0
510190306042,2024,592,0,0
510190306051,2024,630,0,0
510190306052,2024,249,45,0
510190306053,2024,466,9,0
510190501011,2024,351,167,0
510190501012,2024,531,416,12
510190501021,2024,258,82,0
510190501022,2024,804,67,0
510210401001,2024,419,13,0
510210401002,2024,505,148,0
510210401003,2024,558,39,0
510210402001,2024,635,0,0
510210402002,2024,338,0,0
510210402003,2024,555,0,0
510230401001,2024,534,14,0
510230401002,2024,291,0,0
510230401003,2024,673,0,0
510230401004,2024,352,3,0
510230402001,2024,457,13,0
510230402002,2024,392,0,0
510230402003,2024,726,11,0
510230402004,2024,426,4,0
510230403011,2024,757,6,5
510230403012,2024,479,45,0
510230403031,2024,361,50,0
510230403032,2024,372,85,0
510230403033,2024,566,585,0
510230403041,2024,963,0,0
510230403042,2024,607,0,0
510230404011,2024,655,57,0
510230404012,2024,294,46,0
510230404021,2024,362,46,0
510230404022,2024,262,23,0
510230404023,2024,388,0,0
510230404024,2024,902,231,0
510230405011,2024,983,0,0
510230405012,2024,821,0,0
510230405013,2024,540,32,0
510230405021,2024,240,6,0
510230405022,2024,409,0,0
510259301001,2024,257,0,4
510259301002,2024,582,29,0
510259301003,2024,336,0,0
510259301004,2024,598,0,0
510259302011,2024,552,0,0
510259302012,2024,360,2,0
510259302021,2024,1,0,0
510259302031,2024,151,0,0
510259302032,2024,504,20,0
510259302033,2024,578,288,0
510259302034,2024,529,76,0
510259303011,2024,448,0,0
510259303012,2024,709,45,0
510259303021,2024,836,2,0
510259303022,2024,458,0,0
510259303023,2024,597,0,0
510270101001,2024,715,7,0
510270101002,2024,334,23,0
510270101003,2024,237,7,0
510270101004,2024,297,54,0
510270101005,2024,367,0,0
510270102001,2024,483,31,0
510270102002,2024,350,11,0
510270102003,2024,182,0,0
510270102004,2024,250,0,0
510270103001,2024,672,13,0
510270103002,2024,678,29,0
510270103003,2024,107,0,0
510270104001,2024,590,76,0
510270104002,2024,406,147,0
510270105001,2024,421,0,0
510270105002,2024,198,0,0
510270106001,2024,375,0,0
510270106002,2024,269,21,17
510270106003,2024,511,14,0
510270106004,2024,450,4,0
510270107001,2024,513,64,0
510270107002,2024,515,0,0
510270107003,2024,395,0,0
510270107004,2024,475,30,0
510299301011,2024,658,13,28
510299301012,2024,511,0,0
510299301013,2024,656,0,0
510299301021,2024,418,0,60
510299301022,2024,476,28,0
510299301023,2024,387,0,0
510299302011,2024,253,23,0
510299302012,2024,932,12,0
510299302013,2024,507,0,0
510299302021,2024,710,34,0
510299302022,2024,775,9,0
510299302023,2024,872,10,0
510310201011,2024,1489,20,0
510310201012,2024,1137,169,0
510310201021,2024,1926,37,6
510310202001,2024,1173,487,71
510310202002,2024,871,35,6
510310203001,2024,341,150,0
510310203002,2024,387,13,0
510310203003,2024,573,128,1
510310204011,2024,1323,1041,2
510310204021,2024,609,138,0
510310204022,2024,441,465,0
510310204031,2024,1346,300,0
510310204032,2024,771,66,0
510310205001,2024,1789,105,0
510310205002,2024,1266,64,6
510310206001,2024,341,0,0
510310206002,2024,460,44,0
510310206003,2024,966,35,0
510310207001,2024,586,0,0
510310207002,2024,355,53,0
510310207003,2024,405,201,0
510310208001,2024,1453,7,0
510310209001,2024,867,0,0
510310209002,2024,584,0,0
510310209003,2024,430,86,0
510330301001,2024,397,93,0
510330301002,2024,779,0,0
510330301003,2024,421,137,0
510330302011,2024,938,179,0
510330302021,2024,899,1,0
510330303001,2024,400,35,0
510330303002,2024,212,162,0
510330303003,2024,613,69,0
510330304001,2024,349,3,0
510330304002,2024,445,0,0
510330305011,2024,906,269,0
510330305012,2024,663,0,0
510330305021,2024,275,62,1
510330305022,2024,1315,28,0
510330305023,2024,850,29,0
510330305031,2024,625,0,0
510330305032,2024,375,0,0
510330306001,2024,463,0,3
510330306002,2024,928,0,0
510350801001,2024,825,67,0
510350801002,2024,615,0,0
510350801003,2024,570,0,0
510350802001,2024,411,0,0
510350802002,2024,356,128,0
510350802003,2024,472,80,36
510350802004,2024,657,17,10
510350803001,2024,745,0,3
510350803002,2024,508,0,0
510350803003,2024,643,23,0
510350803004,2024,536,0,0
510350804011,2024,957,137,0
510350804012,2024,417,0,4
510350804021,2024,700,63,0
510350804022,2024,743,11,0
510350805011,2024,996,6,0
510350805012,2024,834,15,0
510350805021,2024,671,19,0
510350805022,2024,588,69,4
510350806011,2024,670,0,0
510350806012,2024,508,6,0
510350806031,2024,527,11,0
510350806032,2024,488,11,0
510350806033,2024,614,0,0
510350806041,2024,976,6,0
510366001001,2024,813,15,0
510366001002,2024,371,76,0
510366002001,2024,601,28,0
510366002002,2024,459,6,0
510366003001,2024,442,6,0
510366003002,2024,441,12,0
510379301011,2024,590,84,0
510379301012,2024,754,107,0
510379301021,2024,670,25,0
510379301022,2024,535,0,0
510379302001,2024,446,8,0
510379302002,2024,589,0,0
510379302003,2024,411,0,0
510379303001,2024,474,5,0
510379303002,2024,539,0,0
510379303003,2024,722,14,13
510411001061,2024,1103,0,0
510411001062,2024,364,12,0
510411001071,2024,55,493,0
510411001072,2024,198,871,0
510411002061,2024,0,375,1
510411002062,2024,456,0,0
510411002063,2024,611,38,1
510411002064,2024,759,0,1
510411002065,2024,217,0,0
510411002081,2024,528,0,0
