Geo,Year,TotEmp,RetEmp,SvcEmp
510230401002,2024,13,0,3
510230401003,2024,233,0,7
510230401004,2024,25,0,11
510230402001,2024,136,2,9
510230402002,2024,82,13,7
510230402003,2024,143,4,41
510230402004,2024,190,32,42
510230403011,2024,1247,21,968
510230403012,2024,258,31,91
510230403031,2024,468,116,141
510230403032,2024,1027,219,309
510230403033,2024,2035,51,556
510230403041,2024,456,0,436
510230403042,2024,433,0,104
510230404011,2024,168,16,37
510230404012,2024,121,17,58
510230404021,2024,286,22,65
510230404022,2024,2636,96,222
510230404023,2024,280,0,190
510230404024,2024,73,33,26
510230405011,2024,975,80,157
510230405012,2024,146,0,90
510230405013,2024,77,0,23
510230405021,2024,107,0,21
510230405022,2024,102,5,51
510259301001,2024,27,8,13
510259301002,2024,346,2,250
510259301003,2024,52,4,13
510259301004,2024,72,10,46
510259302011,2024,504,6,312
510259302012,2024,114,0,37
510259302021,2024,201,0,200
510259302031,2024,49,11,14
510259302032,2024,197,10,92
510259302033,2024,1020,94,637
510259302034,2024,145,27,45
510259303011,2024,84,4,14
510259303012,2024,107,10,15
510259303021,2024,207,9,52
510259303022,2024,131,2,49
510259303023,2024,131,23,21
510270101001,2024,190,10,127
510270101002,2024,479,38,420
510270101003,2024,88,0,9
510270101004,2024,524,226,189
510270101005,2024,26,10,8
510270102001,2024,65,21,17
510270102002,2024,230,0,38
510270102003,2024,126,10,29
510270102004,2024,63,16,1
510270103001,2024,338,29,102
510270103002,2024,114,0,86
510270103003,2024,9,0,7
510270104001,2024,62,1,16
510270104002,2024,986,42,727
510270105001,2024,79,0,9
510270105002,2024,22,5,6
510270106001,2024,926,1,6
510270106002,2024,477,23,179
510270106003,2024,449,174,83
510270106004,2024,98,0,8
510270107001,2024,101,6,20
510270107002,2024,23,0,6
510270107003,2024,67,0,61
510270107004,2024,97,21,16
510299301011,2024,83,9,31
510299301012,2024,23,0,12
510299301013,2024,87,3,31
510299301021,2024,85,2,25
510299301022,2024,100,15,50
510299301023,2024,239,4,187
510299302011,2024,832,73,93
510299302012,2024,342,52,74
510299302013,2024,288,98,65
510299302021,2024,568,21,508
510299302022,2024,315,1,73
510299302023,2024,104,9,31
510310201011,2024,2092,81,1506
510310201012,2024,3013,103,251
510310201021,2024,532,160,106
510310202001,2024,1990,254,529
510310202002,2024,193,6,181
510310203001,2024,396,44,161
510310203002,2024,256,134,28
510310203003,2024,113,7,53
510310204011,2024,2084,476,746
510310204021,2024,187,34,11
510310204022,2024,509,50,246
510310204031,2024,198,13,63
510310204032,2024,213,11,85
510310205001,2024,823,50,119
510310205002,2024,467,53,130
510310206001,2024,73,35,27
510310206002,2024,492,262,64
510310206003,2024,75,0,43
510310207001,2024,92,3,23
510310207002,2024,1626,259,102
510310207003,2024,1882,43,286
510310208001,2024,405,12,85
510310209001,2024,46,2,13
510310209002,2024,258,46,52
510310209003,2024,480,131,155
510330301001,2024,165,1,107
510330301002,2024,82,9,18
510330301003,2024,282,8,168
510330302011,2024,665,42,107
510330302021,2024,95,0,31
510330303001,2024,949,27,681
510330303002,2024,748,95,137
510330303003,2024,145,3,122
510330304001,2024,20,0,13
510330304002,2024,105,1,54
510330305011,2024,626,144,232
510330305012,2024,88,7,9
510330305021,2024,230,55,54
510330305022,2024,68,8,59
510330305023,2024,60,5,46
510330305031,2024,258,65,107
510330305032,2024,358,42,145
510330306001,2024,101,7,12
510330306002,2024,171,118,44
510350801001,2024,1935,50,1018
510350801002,2024,59,2,14
510350801003,2024,15,10,3
510350802001,2024,19,2,2
510350802002,2024,361,32,85
510350802003,2024,1145,59,411
510350802004,2024,162,28,17
510350803001,2024,21,0,12
510350803002,2024,33,3,22
510350803003,2024,147,0,31
510350803004,2024,57,0,54
510350804011,2024,468,147,217
510350804012,2024,106,26,44
510350804021,2024,184,83,22
510350804022,2024,27,0,12
