Geo,Year,TotEmp,RetEmp,SvcEmp
517600205023,2024,715,102,342
517600206001,2024,249,9,198
517600206002,2024,165,54,54
517600207001,2024,98,11,60
517600207002,2024,190,3,154
517600208001,2024,143,16,18
517600208002,2024,113,1,23
517600209001,2024,24,1,23
517600209002,2024,67,0,65
517600209003,2024,18,0,6
517600209004,2024,30,1,22
517600210001,2024,15,0,13
517600210002,2024,74,39,25
517600211001,2024,271,1,41
517600212001,2024,175,11,35
517600301001,2024,218,6,204
517600301002,2024,71,5,66
517600302001,2024,21,0,9
517600302002,2024,24907,39,17196
517600302003,2024,374,32,197
517600302004,2024,540,5,142
517600305011,2024,3406,102,1413
517600305012,2024,648,111,246
517600305013,2024,1066,48,393
517600305021,2024,26858,61,7226
517600305022,2024,6438,51,3542
517600402011,2024,287,0,79
517600402012,2024,183,52,54
517600402021,2024,7929,197,3342
517600402022,2024,6017,689,1192
517600403001,2024,99,10,15
517600403002,2024,8449,88,7258
517600404001,2024,95,22,26
517600404002,2024,437,11,260
517600404003,2024,216,48,77
517600405001,2024,362,7,22
517600405002,2024,123,33,36
517600405003,2024,116,33,32
517600405004,2024,740,7,552
517600406001,2024,116,0,72
517600406002,2024,164,21,38
517600407001,2024,917,6,583
517600407002,2024,194,0,140
517600408001,2024,1723,683,689
517600409001,2024,905,5,179
517600409002,2024,1026,317,177
517600410001,2024,170,1,59
517600410002,2024,313,13,227
517600411001,2024,667,26,206
517600411002,2024,698,132,133
517600411003,2024,313,20,103
517600411004,2024,549,54,169
517600412001,2024,74,16,11
517600413001,2024,521,7,252
517600413002,2024,4353,0,108
517600414001,2024,262,0,261
517600414002,2024,104,0,87
517600416001,2024,111,0,32
517600501001,2024,3369,149,1029
517600501002,2024,69,0,57
517600501003,2024,218,23,57
517600502001,2024,1208,167,694
517600502002,2024,51,0,28
517600502003,2024,66,10,37
517600503001,2024,254,0,194
517600504001,2024,573,78,313
517600504002,2024,1178,165,802
517600505001,2024,1049,374,289
517600505002,2024,1151,170,300
517600505003,2024,1798,0,1798
517600506001,2024,84,0,48
517600506002,2024,173,6,76
517600602001,2024,411,10,196
517600602002,2024,17,10,7
517600602003,2024,70,9,11
517600604001,2024,658,51,142
517600604002,2024,44,12,15
517600604003,2024,23,2,17
517600604004,2024,40,6,25
517600604005,2024,53,6,26
517600605011,2024,36,1,6
517600605012,2024,29,0,13
517600605013,2024,59,3,14
517600605021,2024,259,11,194
517600605022,2024,18,0,13
517600605023,2024,14,0,9
517600606001,2024,203,31,49
517600606002,2024,145,79,23
517600606003,2024,60,0,16
517600607001,2024,848,28,129
517600607002,2024,983,41,45
517600607003,2024,289,73,17
517600607004,2024,49,15,15
517600607005,2024,30,6,14
517600608001,2024,569,112,54
517600608002,2024,2922,81,370
517600608003,2024,11,3,3
517600608004,2024,68,13,12
517600609001,2024,1911,88,402
517600610011,2024,361,17,281
517600610012,2024,356,41,200
517600610013,2024,37,1,23
517600610021,2024,812,26,70
517600610022,2024,338,22,151
517600610023,2024,3647,17,492
517600701001,2024,2697,232,997
517600701002,2024,620,113,235
517600701003,2024,262,0,219
517600701004,2024,480,7,418
517600703001,2024,1167,815,230
517600703002,2024,38,0,31
517600704001,2024,482,39,125
517600704002,2024,1201,468,324
517600704003,2024,158,0,34
517600706011,2024,1614,95,622
517600706012,2024,38,25,12
517600706013,2024,14,6,8
517600706014,2024,9,0,1
517600706021,2024,1690,195,304
517600706022,2024,15,5,8
517600707001,2024,152,75,68
517600707002,2024,184,13,98
517600707003,2024,253,159,45
517600708021,2024,50,28,6
517600708022,2024,130,23,39
517600708031,2024,184,44,66
517600708032,2024,49,14,35
517600708041,2024,19,0,14
517600708042,2024,55,45,4
517600708043,2024,6,0,6
517600709011,2024,62,18,11
517600709012,2024,690,0,75
517600709013,2024,28,0,20
517600709021,2024,518,26,274
517600709022,2024,5325,5,4889
517600709023,2024,884,0,7
517600710021,2024,380,41,136
517600710022,2024,244,25,33
517600710031,2024,162,29,18
517600710032,2024,100,0,5
517600710041,2024,106,14,88
517600710042,2024,5960,18,4181
517600711001,2024,66,12,39
517600711002,2024,13,0,11
517600711003,2024,76,9,34
517600711004,2024,247,115,108
510366001001,2045,1310,0,116
510366001002,2045,181,6,17
510366002001,2045,164,17,50
510366002002,2045,348,1,40
510366003001,2045,335,12,248
510366003002,2045,171,7,48
510411001061,2045,108,7,72
510411001062,2045,48,0,42
510411001071,2045,6864,127,3882
510411001072,2045,1882,119,201
510411002061,2045,911,219,446
510411002062,2045,98,0,43
510411002063,2045,77,36,12
510411002064,2045,60,0,33
510411002065,2045,231,123,50
510411002081,2045,162,0,93
510411002082,2045,143,71,47
510411002091,2045,1196,133,477
510411002092,2045,524,62,174
510411002093,2045,100,0,72
510411002094,2045,440,259,134
510411002101,2045,2002,458,1009
510411002111,2045,295,40,50
510411002112,2045,48,4,33
510411002121,2045,77,21,47
510411002122,2045,111,0,100
510411002123,2045,60,0,11
510411003001,2045,3943,328,77
510411003002,2045,176,0,14
510411004031,2045,7611,21,558
510411004032,2045,6215,138,4838
510411004033,2045,9048,46,490
510411004034,2045,2908,184,248
510411004035,2045,432,0,91
510411004041,2045,491,48,133
510411004042,2045,181,60,50
510411004051,2045,48,0,46
510411004052,2045,66,21,14
510411004061,2045,613,6,374
510411004071,2045,601,89,75
510411004072,2045,257,4,131
510411004073,2045,137,53,37
510411004091,2045,1627,520,191
510411004092,2045,412,60,263
510411004093,2045,1070,220,136
510411004094,2045,101,0,10
510411004095,2045,277,134,15
510411004101,2045,628,47,281
510411004102,2045,133,7,75
510411005051,2045,239,7,79
510411005052,2045,336,39,156
510411005053,2045,3850,1807,1243
510411005054,2045,37,0,8
510411005055,2045,173,84,69
510411005061,2045,24,0,1
510411005062,2045,1798,143,170
510411005063,2045,137,0,66
510411005064,2045,68,17,30
510411005065,2045,39,0,12
510411005071,2045,180,0,149
510411005072,2045,50,0,42
510411005073,2045,309,0,176
510411005081,2045,116,18,77
510411005082,2045,480,33,97
510411005091,2045,100,1,64
510411005092,2045,9623,432,626
510411005093,2045,405,173,170
510411005094,2045,1089,107,381
510411005101,2045,367,0,25
510411005102,2045,134,33,47
510411006001,2045,77,17,51
510411006002,2045,1456,12,1334
510411006003,2045,40,0,40
510411007011,2045,108,0,101
510411007012,2045,260,133,68
510411007013,2045,36,0,11
510411007014,2045,72,19,35
510411007021,2045,94,0,69
510411007041,2045,69,0,65
510411007042,2045,66,6,29
510411007043,2045,179,36,54
510411007051,2045,143,0,126
510411007052,2045,140,0,89
510411008041,2045,125,0,51
510411008042,2045,55,8,37
510411008043,2045,634,271,176
510411008051,2045,64,0,62
510411008052,2045,71,60,4
510411008053,2045,390,174,172
510411008054,2045,123,1,102
510411008061,2045,26,0,12
510411008062,2045,1929,285,1298
510411008071,2045,284,42,47
510411008121,2045,127,10,36
510411008122,2045,79,1,65
510411008123,2045,1129,107,560
510411008141,2045,284,0,239
510411008142,2045,263,6,104
510411008151,2045,79,17,42
510411008152,2045,267,0,172
510411008161,2045,11,0,6
510411008162,2045,101,0,51
510411008163,2045,37,14,15
510411008171,2045,138,76,48
510411008172,2045,19771,3,13936
510411008181,2045,310,0,43
510411008182,2045,180,7,115
510411008191,2045,371,0,109
510411008192,2045,64,0,30
510411008193,2045,278,77,176
510411008201,2045,577,61,281
510411008202,2045,2866,104,495
510411008211,2045,1951,238,1280
510411008212,2045,227,0,184
510411008213,2045,54,12,11
510411008221,2045,55,0,33
510411008222,2045,306,0,165
510411008223,2045,3518,1140,1324
510411008231,2045,129,0,39
510411008232,2045,1348,141,671
510411008233,2045,415,3,313
510411009021,2045,149,0,144
510411009022,2045,750,111,421
510411009023,2045,657,28,394
510411009071,2045,1019,317,192
510411009072,2045,2004,425,1308
510411009101,2045,53,0,26
510411009102,2045,364,3,47
510411009103,2045,105,0,57
510411009104,2045,187,7,174
510411009121,2045,385,4,129
510411009122,2045,187,0,29
510411009123,2045,1269,71,612
510411009124,2045,1084,1,552
510411009151,2045,1306,335,390
510411009152,2045,3847,1760,1194
510411009191,2045,5004,1272,1153
510411009192,2045,40,3,29
510411009193,2045,2276,275,642
510411009201,2045,10876,3195,4268
510411009211,2045,432,0,173
510411009212,2045,65,0,39
510411009213,2045,35,0,12
510411009214,2045,267,33,172
510411009221,2045,3612,598,1513
510411009222,2045,6890,1121,2534
510411009223,2045,2562,61,1326
510411009231,2045,1621,345,1057
510411009232,2045,37,0,7
510411009241,2045,2306,19,919
510411009242,2045,2620,513,530
510411009261,2045,1753,468,549
510411009262,2045,322,1,136
510411009263,2045,183,0,100
510411009264,2045,53,1,25
510411009281,2045,2703,29,2476
510411009282,2045,706,53,436
510411009283,2045,1276,526,274
510411009291,2045,644,0,329
510411009292,2045,223,4,149
510411009293,2045,116,0,90
510411009294,2045,334,3,71
510411009301,2045,879,91,353
510411009302,2045,1067,57,790
510411009311,2045,87,0,14
510411009312,2045,3525,1475,1174
510411009313,2045,328,154,72
510411009321,2045,40,1,19
510411009322,2045,170,11,87
510411009331,2045,147,30,105
510411009332,2045,356,77,130
510411009341,2045,277,87,97
510411009342,2045,105,0,39
510411009343,2045,2222,707,700
510411009344,2045,53,0,21
510411009351,2045,934,40,489
510411009352,2045,169,3,57
510411009361,2045,43,0,19
510411009362,2045,717,3,372
510411009371,2045,2128,197,1471
510411009372,2045,300,0,259
