Geo,Year,SFDU,MFDU,GQDU
517600411002,2024,91,461,0
517600411003,2024,56,377,0
517600411004,2024,138,622,0
517600412001,2024,71,468,0
517600413001,2024,559,428,0
517600413002,2024,519,58,7
517600414001,2024,261,261,0
517600414002,2024,141,335,0
517600416001,2024,608,51,2
517600501001,2024,331,473,0
517600501002,2024,20,769,0
517600501003,2024,363,10,0
517600502001,2024,599,0,0
517600502002,2024,543,97,0
517600502003,2024,354,10,0
517600503001,2024,319,546,0
517600504001,2024,596,71,0
517600504002,2024,640,102,0
517600505001,2024,785,25,0
517600505002,2024,554,21,17
517600505003,2024,0,0,2063
517600506001,2024,463,0,0
517600506002,2024,567,214,0
517600602001,2024,383,311,223
517600602002,2024,397,52,0
517600602003,2024,123,37,5
517600604001,2024,305,108,153
517600604002,2024,34,69,0
517600604003,2024,296,230,0
517600604004,2024,569,78,0
517600604005,2024,524,58,0
517600605011,2024,151,33,0
517600605012,2024,358,9,18
517600605013,2024,352,20,10
517600605021,2024,411,79,0
517600605022,2024,83,976,0
517600605023,2024,248,549,0
517600606001,2024,393,80,0
517600606002,2024,324,0,0
517600606003,2024,424,0,0
517600607001,2024,108,721,0
517600607002,2024,167,84,0
517600607003,2024,493,234,0
517600607004,2024,226,0,9
517600607005,2024,175,208,0
517600608001,2024,451,174,0
517600608002,2024,285,0,0
517600608003,2024,114,291,0
517600608004,2024,45,0,0
517600609001,2024,471,159,0
517600610011,2024,221,808,0
517600610012,2024,277,201,0
517600610013,2024,16,264,47
517600610021,2024,78,1112,0
517600610022,2024,0,415,0
517600610023,2024,70,1739,25
517600701001,2024,384,0,0
517600701002,2024,657,359,40
517600701003,2024,544,0,7
517600701004,2024,363,680,0
517600703001,2024,499,642,2
517600703002,2024,428,0,0
517600704001,2024,610,296,0
517600704002,2024,381,78,5
517600704003,2024,464,19,9
517600706011,2024,612,175,0
517600706012,2024,717,141,0
517600706013,2024,0,520,0
517600706014,2024,74,249,0
517600706021,2024,651,0,4
517600706022,2024,255,59,0
517600707001,2024,34,685,0
517600707002,2024,656,0,1
517600707003,2024,943,92,6
517600708021,2024,386,11,0
517600708022,2024,615,87,10
517600708031,2024,586,300,117
517600708032,2024,700,378,0
517600708041,2024,324,15,13
517600708042,2024,439,94,0
517600708043,2024,362,0,0
517600709011,2024,646,0,0
517600709012,2024,397,17,0
